type,building_count
"проходная, ",1
funeral_hall,1
carports,1
kazarma,1
business_centre,1
playhouse,1
nursing_home,1
construction;apartme,1
Ski_Center,1
nursery,1
ice_rink,1
planned,1
roof;retail,1
научный_це,1
derelict,1
mobile_home,1
"магазин_""ст",1
277,1
civik,1
craft,1
бо,1
digester,1
multiple_sheds,1
research,1
pub,1
part=arch,1
social,1
film_studio,1
школа 1,1
budka,1
tunnel,1
driving_school,1
calf,1
colonnade,1
dentist,1
котельная,1
24,1
ресторан_д,1
administrative_chamb,1
35,1
garases,1
militar,1
ventilation_shaft,1
apartaments,1
unknown,1
toll_booth,1
ferry,1
hoo,1
domitory,1
industrial;commercia,1
fuel_station,1
wayes,1
Кафе,1
attraction,1
заброшеное,1
steps,1
telephone_exchange,1
airport,1
foundation,1
boiler_house,1
49,1
mill,1
112,1
stock,1
Crematorium,1
dugout,1
cс,1
mobile_tank,1
aircraft,1
interpolation,1
business,1
all,1
skywalk,1
industial,1
yes;used,1
non-residential,1
fort,1
ну,1
office;garage,1
tiles,1
yes;civic,1
yesaddr:housenumber=,1
4,1
warehouses,1
производст,1
fire_training_house,1
governent_office,1
coffee_shop,1
моу_детски,1
остановка,1
storehouse,1
56,1
veterinary,1
Дом культу,1
goverment,1
hospital;yes,1
ammunition,1
медпункт_м,1
сдк,1
app,1
car,1
СНТ Селика,1
unspecified_building,1
ДИПИ,1
ser,1
hospital;roof,1
pipe,1
cultural,1
hypermarket,1
bunyes,1
house;retail,1
ciol,1
deck,1
footway,1
guardhouse;gatehouse,1
belltower,1
28,1
clinicq,1
garage;yes,1
hat,1
yes;hospital,1
red,1
publicyes,1
retail;commercial,1
grotto,1
охран,1
exmilitari,1
power,1
гараж_горг,1
cage,1
хло,1
collapsedq,1
ruiner,1
residential;apartmen,1
extension,1
base,1
трансформа,1
dominta,1
clock_tower,1
lyceum,1
car_wash,1
ru\,1
Meteostancija,1
dispensary,1
lay,1
projected,1
garagesq,1
garager,1
residentialй,1
sporthall,1
boarding_school,1
use,1
nightclub,1
fishcatch,1
tourism,1
fake_ruins,1
register_office,1
blood_donation,1
college;school,1
